dependabot[bot],bump rack from,rack from 2.0.7,from 2.0.7 to
bors,updating crate `protobuf#2.10.0`,crate `protobuf#2.10.0`,`protobuf#2.10.0`
dependabot[bot],bump handlebars from,handlebars from 4.1.2,from 4.1.2 to
Mykle,delete readme.md,readme.md,""
AlanTellezS,123,"",""
tyler.devtcn@gmail.com,added twitter config,twitter config v1,config v1
himobi,thank you,you,""
Taylor Kraft,automatically backed up,backed up by,up by learn
Benjamin Russell,finally fixing that,fixing that broken,that broken test
Talha A,added css support,css support and,support and menu
himobi,thank you,you,""
Viktor Plane,more changes to,changes to logging,to logging
Danilo Margarido,"nope, let's try",let's try 18.10,try 18.10
DST-ftp-root,automated file upload,file upload,upload
jekyllvn,update footer.html,footer.html,""
tyru,add <plug>(qfloc-sbuffer),<plug>(qfloc-sbuffer),""
Jueliany,.,"",""
SoftMonster,remove spider keeper,spider keeper but,keeper but use
kt,ensure acctest resource,acctest resource groups,resource groups follow
Logan,update release.yml,release.yml,""
KOLANICH,initial commit,commit,""
WayneMRP,dodanie do listy.|,do listy.| 2019-11-30,listy.| 2019-11-30 |
dependabot[bot],bump mixin-deep from,mixin-deep from 1.3.1,from 1.3.1 to
Priest502,delete priest502-gitbrowser.installer-1.1.3.zip,priest502-gitbrowser.installer-1.1.3.zip,""
dondontam,update post,post,""
himobi,thank you,you,""
YvonneHou98,add files via,files via uploadresumeupdate12.31,via uploadresumeupdate12.31
PowWow Admin,[other] update client,update client version,client version
Cam Watson,update,"",""
edhoguntur,setting up yajra,up yajra datatables,yajra datatables
Nikita,updates,"",""
HSKHTM,add files via,files via upload,via upload
Menahem Ashurov,update readme.md,readme.md,""
Jarek Potiuk,[airflow-6205] the 'airflow,the 'airflow db,'airflow db shell'
Tainoko,commit,"",""
Zachary Jacobs,automatically backed up,backed up by,up by learn
Sithara Jayachandran,attribute hierarchy |,hierarchy | school,| school
seatacken,working on new,on new counter,new counter functionality
Nikhil Anand,buttons!,"",""
Timothy Castiglia,syntax error,error,""
Emirhan Kaplan,asd,"",""
himobi,thank you,you,""
PowWow Admin,[connect] updated connect,updated connect version,connect version to
dependabot[bot],bump puma from,puma from 3.12.1,from 3.12.1 to
char0x602,update hqat.json,hqat.json,""
mambax7,add bootstrap plugin,bootstrap plugin,plugin
Adam,updated info,info,""
WayneMRP,dodanie do listy,do listy frank_statham|,listy frank_statham| 2019-12-31
Joshua Lange,reverted accidental changes,accidental changes to,changes to arch/arm/src/sama5/sam_ethernet.c
Luke,readme,"",""
juliaslohman,misc cleanup and,cleanup and accessiblity,and accessiblity
Deployment Bot (from Travis CI),deploy kol.kheang.org to,kol.kheang.org to github.com/kolkheang/kol.kheang.org.git:gh-pages,to github.com/kolkheang/kol.kheang.org.git:gh-pages
gycn,move label2d drawables,label2d drawables to,drawables to session
himobi,thank you,you,""
Danilo Margarido,hopefully 19.04 works,19.04 works,works
javapark1,changed header to,header to follow,to follow the
Nathan Seidle,move redundant iom,redundant iom setup,iom setup to
SockPuppetry,travis ci build,ci build 187080,build 187080
anower00,recent post and,post and trending,and trending post
asdfghy6,'',"",""
Taylor Kraft,automatically backed up,backed up by,up by learn
Adolfo Marinucci,scrollviewer tests,tests,""
awsm-bot,updating backups for,backups for 2019-10-03,for 2019-10-03
Bot,update,"",""
ttrigui,use optimized version,optimized version for,version for convolve
himobi,thank you,you,""
its-pointless,julia 1.3.1,1.3.1,""
Ehron Gwinn,update map values,map values for,values for new
